,genres,release_date,playtime_forever,max
26,Action,2012,1085500221,1085500221
59,Adventure,2011,221631891,221631891
71,Animation &amp; Modeling,2015,1345545,1345545
75,Audio Production,2014,455463,455463
104,Casual,2015,81706883,81706883
109,Design &amp; Illustration,2012,1930339,1930339
116,Early Access,2013,118902893,118902893
124,Education,2013,340567,340567
141,Free to Play,2013,146213734,146213734
158,Indie,2006,446115272,446115272
178,Massively Multiplayer,2013,133376503,133376503
186,Photo Editing,2014,61659,61659
208,RPG,2011,227883593,227883593
235,Racing,2015,37467243,37467243
257,Simulation,2006,444536391,444536391
273,Software Training,2014,412697,412697
288,Sports,2015,41297376,41297376
314,Strategy,2013,145266750,145266750
324,Utilities,2014,2711695,2711695
333,Video Production,2015,1662650,1662650
337,Web Publishing,2012,1930339,1930339
